,School Name,City,State,Admission Rate,In-State Tuition,Student to Faculty Ratio,Student Population Size,On-Campus Housing Cost,Off-Campus Housing Cost,Degree of Urbanization,"Median Earnings, 7 Years after Entering College",Average SAT Score
2564,Ursuline College,Pepper Pike,OH,0.8508,36816,7,618,12042,7000,"Suburb, Population >= 250,000",50414,1087
2566,Walsh University,North Canton,OH,0.7251,33235,14,1454,11700,9279,"Suburb, Population >= 250,000",46578,1186
2568,Wilberforce University,Wilberforce,OH,0.4512,13250,19,639,7000,6650,"Fringe Rural, <= 5 miles from an urban area and <= 2.5 miles from an Urban Cluster",27590,910
2569,Wilmington College,Wilmington,OH,0.8813,29490,13,1011,10800,2650,"Distant Town, Urban Cluster is that is between 10 and 35 miles from an urban area",40304,976
2571,Wittenberg University,Springfield,OH,0.9393,43106,10,1235,11280,11280,"City, Population < 100,000",44111,1216
2572,The College of Wooster,Wooster,OH,0.5627,57500,11,1960,13500,3500,"Distant Town, Urban Cluster is that is between 10 and 35 miles from an urban area",40994,1364
2573,Wright State University-Main Campus,Dayton,OH,0.9522,10864,14,6327,10686,10686,"Suburb, Population >= 250,000",39585,1050
2574,Wright State University-Lake Campus,Celina,OH,0.9985,7286,13,984,11500,11500,"Fringe Rural, <= 5 miles from an urban area and <= 2.5 miles from an Urban Cluster",39585,1090
2575,Xavier University,Cincinnati,OH,0.8454,45000,11,4837,13820,13820,"City, Population Size >= 250,000",51259,1238
2576,Youngstown State University,Youngstown,OH,0.806,10478,18,7741,10016,10016,"City, Population < 100,000",33946,1082
2578,Oklahoma Wesleyan University,Bartlesville,OK,0.5213,30262,15,722,9118,9118,"Distant Town, Urban Cluster is that is between 10 and 35 miles from an urban area",47383,1023
2584,University of Central Oklahoma,Edmond,OK,0.6994,8234,16,10400,8628,12198,"Suburb, Population >= 250,000",39756,1090
2586,East Central University,Ada,OK,0.7008,7405,17,2584,7752,10144,"Rural Town, Urban Cluster 35 miles away from an urban area",37836,1050
2591,Randall University,Moore,OK,0.4286,16742,9,242,7430,10169,"Suburb, Population >= 250,000",33589,998
2595,Northeastern State University,Tahlequah,OK,0.9946,7400,17,4885,8292,8140,"Rural Town, Urban Cluster 35 miles away from an urban area",38825,1046
2598,Northwestern Oklahoma State University,Alva,OK,0.5642,5970,16,1430,5220,5220,"Rural Town, Urban Cluster 35 miles away from an urban area",38628,974
2600,Oklahoma Christian University,Edmond,OK,0.9602,25148,15,1856,8280,8280,"City, Population Size >= 250,000",41963,1147
2603,Oklahoma State University-Main Campus,Stillwater,OK,0.7063,10234,18,20362,9800,9800,"Distant Town, Urban Cluster is that is between 10 and 35 miles from an urban area",46108,1145
2605,Oklahoma Baptist University,Shawnee,OK,0.4734,32880,15,1246,8248,8248,"Distant Town, Urban Cluster is that is between 10 and 35 miles from an urban area",39187,1054
2607,Oklahoma City University,Oklahoma City,OK,0.7039,32744,9,1344,9486,9486,"City, Population Size >= 250,000",42193,1150
2608,University of Oklahoma-Norman Campus,Norman,OK,0.7292,9312,16,20842,15780,15780,"Suburb, Population between 100,000 and 250,000",49847,1240
2610,Oral Roberts University,Tulsa,OK,0.7837,32640,17,3250,9050,13200,"City, Population Size >= 250,000",38002,1112
2614,University of Science and Arts of Oklahoma,Chickasha,OK,0.563,9000,16,808,7000,7410,"Distant Town, Urban Cluster is that is between 10 and 35 miles from an urban area",33903,1086
2617,Southeastern Oklahoma State University,Durant,OK,0.7421,7020,22,2853,7250,7002,"Distant Town, Urban Cluster is that is between 10 and 35 miles from an urban area",37348,1078
2619,Southwestern Oklahoma State University,Weatherford,OK,0.7678,8130,18,3596,6930,6312,"Rural Town, Urban Cluster 35 miles away from an urban area",40314,1050
2622,University of Tulsa,Tulsa,OK,0.6918,47211,10,2612,11426,12323,"City, Population Size >= 250,000",48089,1239
2637,George Fox University,Newberg,OR,0.9173,39540,15,2495,13050,13050,"Fringe Town, Urban cluster that is 10 miles from an urban area",46182,1195
2640,Lewis & Clark College,Portland,OR,0.6859,59684,13,2187,14384,14384,"City, Population Size >= 250,000",43097,1366
2648,Multnomah University,Portland,OR,0.5338,28810,12,375,9920,8580,"City, Population Size >= 250,000",37174,1155
2652,Oregon Institute of Technology,Klamath Falls,OR,0.9258,12122,15,3088,10921,13423,"Rural Town, Urban Cluster 35 miles away from an urban area",63472,1177
2654,University of Oregon,Eugene,OR,0.8629,15054,20,19443,14640,11256,"City, Population Size between 100,000 and 250,000",45896,1271
2656,Pacific University,Forest Grove,OR,0.9228,52072,9,1546,14408,9806,"Suburb, Population >= 250,000",46276,1150
2664,University of Portland,Portland,OR,0.9251,51812,9,3368,17172,13448,"City, Population Size >= 250,000",67623,1326
2665,Reed College,Portland,OR,0.308,64760,9,1494,15950,12150,"City, Population Size >= 250,000",41026,1421
2675,Western Oregon University,Monmouth,OR,0.8335,10602,13,3292,10923,10854,"Fringe Town, Urban cluster that is 10 miles from an urban area",39549,1050
2677,Bryn Athyn College of the New Church,Bryn Athyn,PA,0.7997,27000,8,271,13449,7000,"Suburb, Population >= 250,000",37289,1118
2682,Allegheny College,Meadville,PA,0.6965,53610,8,1324,13796,11296,"Distant Town, Urban Cluster is that is between 10 and 35 miles from an urban area",47063,1269
2684,DeSales University,Center Valley,PA,0.7717,42600,11,2175,13500,11576,"Suburb, Population >= 250,000",52248,1204
2686,Alvernia University,Reading,PA,0.59,40750,12,2000,14030,5100,"City, Population < 100,000",46100,1075
2692,Arcadia University,Glenside,PA,0.7757,47130,12,1750,13720,21400,"Suburb, Population >= 250,000",45490,1212
2695,Bucknell University,Lewisburg,PA,0.3255,61746,9,3732,15358,15358,"Distant Town, Urban Cluster is that is between 10 and 35 miles from an urban area",76427,1405
2700,Cabrini University,Radnor,PA,0.7852,34665,13,1145,13224,10000,"Suburb, Population >= 250,000",45318,1120
2701,Carlow University,Pittsburgh,PA,0.927,33500,10,1243,13014,13014,"City, Population Size >= 250,000",42322,950
2702,Carnegie Mellon University,Pittsburgh,PA,0.113,61344,5,7005,16486,14986,"City, Population Size >= 250,000",92854,1546
2703,Cedar Crest College,Allentown,PA,0.8425,43643,9,933,12722,12722,"City, Population Size between 100,000 and 250,000",47266,1075
2705,Chatham University,Pittsburgh,PA,0.6633,42125,10,1207,12719,12719,"City, Population Size >= 250,000",41234,1175
2712,Delaware Valley University,Doylestown,PA,0.9543,42120,13,1631,14850,14850,"Suburb, Population >= 250,000",41364,1117
2715,Drexel University,Philadelphia,PA,0.7961,58965,9,13933,16980,17625,"City, Population Size >= 250,000",69511,1333
2716,Duquesne University,Pittsburgh,PA,0.8749,45376,12,5087,14744,14744,"City, Population Size >= 250,000",60449,1257
2717,East Stroudsburg University of Pennsylvania,East Stroudsburg,PA,0.9363,10987,20,4324,11400,8700,"Fringe Town, Urban cluster that is 10 miles from an urban area",43234,1069
2719,Elizabethtown College,Elizabethtown,PA,0.8112,35670,13,1703,12642,8001,"Suburb, Population >= 250,000",52811,1191
2731,Franklin and Marshall College,Lancaster,PA,0.3623,65844,9,1986,15040,15040,"City, Population < 100,000",55963,1386
2734,Gettysburg College,Gettysburg,PA,0.5631,61760,10,2236,14930,14930,"Fringe Town, Urban cluster that is 10 miles from an urban area",59372,1372
2738,Gwynedd Mercy University,Gwynedd Valley,PA,0.5842,37052,8,1217,13056,10152,"Suburb, Population >= 250,000",58861,1110
2741,Haverford College,Haverford,PA,0.1421,63628,8,1417,17982,17982,"Suburb, Population >= 250,000",56106,1506
2743,Holy Family University,Philadelphia,PA,0.7744,32558,13,2124,14500,10636,"City, Population Size >= 250,000",53142,940
2745,Immaculata University,Immaculata,PA,0.6974,27750,10,1248,12620,12620,"Suburb, Population >= 250,000",56491,1180
2746,Indiana University of Pennsylvania-Main Campus,Indiana,PA,0.9194,11320,21,6611,12542,12542,"Distant Town, Urban Cluster is that is between 10 and 35 miles from an urban area",41806,1061
2750,Juniata College,Huntingdon,PA,0.7616,54336,10,1116,13050,13050,"Distant Town, Urban Cluster is that is between 10 and 35 miles from an urban area",45952,1244
2751,Keystone College,La Plume,PA,0.8066,17450,14,1009,11900,5200,"Suburb, Population >= 250,000",32407,1030
2752,King's College,Wilkes-Barre,PA,0.9599,41600,11,1595,14648,10000,"City, Population < 100,000",47609,1162
2754,Kutztown University of Pennsylvania,Kutztown,PA,0.9614,11230,20,6334,12156,12156,"Fringe Town, Urban cluster that is 10 miles from an urban area",43067,1140
2755,La Roche University,Pittsburgh,PA,0.9736,32284,12,794,12886,8205,"Suburb, Population >= 250,000",41480,1094
2756,La Salle University,Philadelphia,PA,0.9425,33890,12,2275,14550,7500,"City, Population Size >= 250,000",53623,1140
2759,Lancaster Bible College,Lancaster,PA,0.9715,28460,16,1286,11190,7000,"Suburb, Population >= 250,000",36239,1121
2764,Lebanon Valley College,Annville,PA,0.7674,48620,11,1618,13220,13220,"Suburb, Population < 100,000",50424,1201
2767,Lehigh University,Bethlehem,PA,0.3698,59930,10,5612,15890,15890,"City, Population < 100,000",86106,1418
2770,Lincoln University,Lincoln University,PA,0.8061,11910,13,1704,10530,10530,"Suburb, Population >= 250,000",34873,952
2774,Lycoming College,Williamsport,PA,0.7522,45499,11,1046,14186,13874,"City, Population < 100,000",42890,1150
2776,Marywood University,Scranton,PA,0.8076,38226,11,1793,14696,13000,"City, Population < 100,000",44421,1113
2780,Messiah University,Mechanicsburg,PA,0.7941,39490,13,2327,11560,11560,"Suburb, Population >= 250,000",45519,1229
2782,Millersville University of Pennsylvania,Millersville,PA,0.9242,12262,18,5697,13750,13660,"Suburb, Population >= 250,000",43260,1150
2785,Moore College of Art and Design,Philadelphia,PA,0.5318,47990,7,355,18034,15738,"City, Population Size >= 250,000",33018,1180
2786,Moravian University,Bethlehem,PA,0.6702,50500,10,1864,14904,7250,"City, Population < 100,000",48722,1149
2787,Mount Aloysius College,Cresson,PA,0.8595,25510,11,1097,11808,10000,"Fringe Town, Urban cluster that is 10 miles from an urban area",39697,1030
2788,Muhlenberg College,Allentown,PA,0.6551,58205,8,1933,13440,13440,"City, Population Size between 100,000 and 250,000",53457,1332
2796,Pennsylvania State University-Penn State Erie-Behrend College,Erie,PA,0.9544,15904,12,3149,12984,12984,"Suburb, Population between 100,000 and 250,000",52102,1207
2803,Pennsylvania State University-Penn State Altoona,Altoona,PA,0.9576,15904,12,2565,12984,12984,"City, Population < 100,000",52102,1163
2804,Pennsylvania State University-Penn State Beaver,Monaca,PA,0.932,14218,11,503,12254,12984,"Suburb, Population >= 250,000",52102,1164
2805,Pennsylvania State University-Penn State Berks,Reading,PA,0.9729,15904,13,2024,14334,12984,"Suburb, Population >= 250,000",52102,1193
2806,Pennsylvania State University-Penn State Harrisburg,Middletown,PA,0.9555,15904,14,4053,14978,12984,"Suburb, Population >= 250,000",52102,1213
2807,Pennsylvania State University-Penn State Brandywine,Media,PA,0.9619,15140,13,1189,13930,12984,"Suburb, Population >= 250,000",52102,1179
2810,Pennsylvania State University-Penn State Hazleton,Hazleton,PA,0.8991,15140,9,470,12254,12984,"Suburb, Population < 100,000",52102,1145
2811,Pennsylvania State University-Main Campus,University Park,PA,0.5521,19835,15,41417,12984,12984,"City, Population < 100,000",52102,1308
2812,Pennsylvania State University-Penn State Greater Allegheny,McKeesport,PA,0.8765,14340,8,356,12254,12984,"Suburb, Population >= 250,000",52102,1130
2813,Pennsylvania State University-Penn State Mont Alto,Mont Alto,PA,0.913,14340,10,626,12254,12984,"Fringe Rural, <= 5 miles from an urban area and <= 2.5 miles from an Urban Cluster",52102,1130
2814,Pennsylvania State University-Penn State Abington,Abington,PA,0.9341,15200,15,3072,10694,12984,"Suburb, Population >= 250,000",52102,1188
2815,Pennsylvania State University-Penn State Schuylkill,Schuylkill Haven,PA,0.8578,15140,12,593,7644,12984,"Fringe Town, Urban cluster that is 10 miles from an urban area",52102,1070
2824,University of Pennsylvania,Philadelphia,PA,0.065,63452,8,10572,17888,15284,"City, Population Size >= 250,000",90173,1546
2829,University of Pittsburgh-Bradford,Bradford,PA,0.9355,14620,13,1051,10332,10934,"Rural Town, Urban Cluster 35 miles away from an urban area",51812,1071
2830,University of Pittsburgh-Greensburg,Greensburg,PA,0.976,14630,16,1323,11820,10934,"Suburb, Population >= 250,000",51812,1158
2831,University of Pittsburgh-Johnstown,Johnstown,PA,0.9741,14646,15,2039,11480,10934,"Suburb, Population < 100,000",51812,1153
2832,University of Pittsburgh-Pittsburgh Campus,Pittsburgh,PA,0.4914,21080,13,19954,12360,12268,"City, Population Size >= 250,000",51812,1380
2839,Point Park University,Pittsburgh,PA,0.8205,36620,11,2410,12240,3150,"City, Population Size >= 250,000",38294,1150
2843,Reading Hospital School of Health Sciences,Reading,PA,0.129,11445,7,259,9604,10347,"City, Population < 100,000",63084,970
2849,Saint Francis University,Loretto,PA,0.7305,40520,15,1639,13452,13452,"Distant Rural, Between 5 to 25 miles from an urban area and between 2.5 to 10 miles from an Urban Cluster",53986,1142
2850,Saint Joseph's University,Philadelphia,PA,0.8868,49610,10,4978,15285,15285,"City, Population Size >= 250,000",63052,1242
2851,Saint Vincent College,Latrobe,PA,0.7337,39903,11,1335,13526,13526,"Suburb, Population >= 250,000",46165,1152
2854,University of Scranton,Scranton,PA,0.8435,50312,12,3515,16490,10200,"City, Population < 100,000",62190,1237
2855,Seton Hill University,Greensburg,PA,0.7834,40224,13,1615,13350,10398,"Suburb, Population >= 250,000",41115,1160
2859,Shippensburg University of Pennsylvania,Shippensburg,PA,0.878,13544,17,4283,11538,10228,"Fringe Town, Urban cluster that is 10 miles from an urban area",44049,1090
2860,Slippery Rock University of Pennsylvania,Slippery Rock,PA,0.7433,10507,19,6707,10268,9690,"Distant Town, Urban Cluster is that is between 10 and 35 miles from an urban area",43036,1060
2866,Susquehanna University,Selinsgrove,PA,0.7669,55160,13,2139,14960,14960,"Distant Town, Urban Cluster is that is between 10 and 35 miles from an urban area",47651,1195
2868,Thaddeus Stevens College of Technology,Lancaster,PA,0.9109,8450,16,1310,9670,9670,"City, Population < 100,000",41852,1110
2873,Thomas Jefferson University,Philadelphia,PA,0.8885,44350,13,3739,14715,14715,"City, Population Size >= 250,000",58562,1244
2878,Ursinus College,Collegeville,PA,0.8221,58016,10,1505,14624,14624,"Suburb, Population >= 250,000",47326,1293
2882,Villanova University,Villanova,PA,0.2339,61618,10,6926,16087,16087,"Suburb, Population >= 250,000",81607,1454
2884,Washington & Jefferson College,Washington,PA,0.8808,50192,10,1139,13524,13524,"Suburb, Population >= 250,000",55419,1145
2885,Waynesburg University,Waynesburg,PA,0.7557,28490,12,1066,12120,8820,"Distant Town, Urban Cluster is that is between 10 and 35 miles from an urban area",46578,1120
2887,West Chester University of Pennsylvania,West Chester,PA,0.8785,10575,20,14014,14228,14228,"Suburb, Population >= 250,000",50063,1165
2892,Widener University,Chester,PA,0.8769,51639,11,2513,15200,8280,"Suburb, Population >= 250,000",57497,1212
2893,Wilkes University,Wilkes-Barre,PA,0.9414,41112,13,1904,15850,9500,"City, Population < 100,000",56243,1159
2895,Wilson College,Chambersburg,PA,0.9405,26200,13,635,11968,7100,"City, Population < 100,000",35337,1060
2897,York College of Pennsylvania,York,PA,0.9561,23328,13,3219,12430,12430,"Suburb, Population between 100,000 and 250,000",49538,1122
2900,Bryant University,Smithfield,RI,0.6881,49329,13,3193,16534,10000,"Suburb, Population >= 250,000",72461,1256
2901,Johnson & Wales University-Providence,Providence,RI,0.8343,38492,14,4135,18760,10250,"City, Population Size between 100,000 and 250,000",36348,1094
2902,New England Institute of Technology,East Greenwich,RI,0.7448,33900,12,1720,16800,7278,"Suburb, Population >= 250,000",47402,1040
2904,Providence College,Providence,RI,0.5278,57928,11,3959,16540,14600,"City, Population Size between 100,000 and 250,000",62560,1334
2905,Rhode Island College,Providence,RI,0.8753,10966,11,4596,13414,14688,"Suburb, Population >= 250,000",41889,990
2907,University of Rhode Island,Kingston,RI,0.7639,15880,17,13828,13584,11386,"Suburb, Population >= 250,000",56306,1178
2908,Rhode Island School of Design,Providence,RI,0.1742,57505,9,2108,15234,15234,"City, Population Size between 100,000 and 250,000",49482,1433
2909,Roger Williams University,Bristol,RI,0.9099,40962,14,3971,16294,12730,"Suburb, Population >= 250,000",53795,1215
2910,Salve Regina University,Newport,RI,0.6953,46000,13,2174,16500,11870,"Suburb, Population >= 250,000",50726,1216
2916,Charleston Southern University,Charleston,SC,0.8675,29990,12,2771,11250,8670,"City, Population Size between 100,000 and 250,000",38119,1072
2918,Benedict College,Columbia,SC,0.6778,17200,17,1726,6600,6600,"City, Population Size between 100,000 and 250,000",23852,900
2920,Southern Wesleyan University,Central,SC,0.5118,27820,12,798,9650,6000,"Suburb, Population between 100,000 and 250,000",37938,1090
2922,College of Charleston,Charleston,SC,0.7569,12978,16,9667,12986,12571,"City, Population Size between 100,000 and 250,000",41508,1239
2925,Citadel Military College of South Carolina,Charleston,SC,0.9858,12570,11,2658,8480,19836,"City, Population Size between 100,000 and 250,000",56479,1178
2927,Clemson University,Clemson,SC,0.4298,15558,16,22467,12350,12350,"Suburb, Population between 100,000 and 250,000",56107,1341
2930,Columbia International University,Columbia,SC,0.4822,26840,13,775,9950,9020,"City, Population Size between 100,000 and 250,000",33774,1074
2931,Columbia College,Columbia,SC,0.9812,22050,11,1136,8400,11980,"City, Population Size between 100,000 and 250,000",35389,972
2932,Converse University,Spartanburg,SC,0.5557,21410,9,804,12664,12664,"City, Population < 100,000",32076,1143
2934,Erskine College,Due West,SC,0.5325,36710,15,817,12450,13000,"Distant Rural, Between 5 to 25 miles from an urban area and between 2.5 to 10 miles from an Urban Cluster",37782,1053
2936,Francis Marion University,Florence,SC,0.8291,11160,13,2684,8230,8230,"Fringe Rural, <= 5 miles from an urban area and <= 2.5 miles from an Urban Cluster",33385,993
2937,Furman University,Greenville,SC,0.6702,55772,9,2278,15148,15148,"Suburb, Population >= 250,000",47832,1361
2942,Lander University,Greenwood,SC,0.674,11700,16,3360,10700,10700,"Distant Town, Urban Cluster is that is between 10 and 35 miles from an urban area",34764,1076
2947,Newberry College,Newberry,SC,0.7531,29100,14,1292,12000,10346,"Distant Town, Urban Cluster is that is between 10 and 35 miles from an urban area",36322,1001
2951,Presbyterian College,Clinton,SC,0.5939,41900,11,877,11300,12100,"Distant Town, Urban Cluster is that is between 10 and 35 miles from an urban area",43373,1156
2952,University of South Carolina Aiken,Aiken,SC,0.7562,10760,15,2817,8376,9916,"Suburb, Population >= 250,000",38000,1080
2954,University of South Carolina-Columbia,Columbia,SC,0.6405,12688,18,26840,11780,11239,"City, Population Size between 100,000 and 250,000",48846,1304
2959,Coastal Carolina University,Conway,SC,0.7863,11640,16,9495,10628,9528,"City, Population < 100,000",37351,1105
2961,University of South Carolina-Upstate,Spartanburg,SC,0.7858,11583,15,4046,9520,10800,"Suburb, Population between 100,000 and 250,000",40004,1078
2970,Winthrop University,Rock Hill,SC,0.6976,15866,12,3376,10488,10332,"City, Population < 100,000",37039,1106
2971,Wofford College,Spartanburg,SC,0.6018,51530,11,1823,14920,7677,"City, Population < 100,000",53445,1300
2973,Augustana University,Sioux Falls,SD,0.6579,37342,12,1759,9148,10400,"City, Population Size between 100,000 and 250,000",47691,1191
2975,Black Hills State University,Spearfish,SD,0.9664,9000,18,1933,7528,7528,"Distant Town, Urban Cluster is that is between 10 and 35 miles from an urban area",36714,1085
2976,Dakota State University,Madison,SD,0.7891,9633,18,1894,8018,7833,"Distant Town, Urban Cluster is that is between 10 and 35 miles from an urban area",41645,1141
2977,Dakota Wesleyan University,Mitchell,SD,0.7477,31890,12,632,7450,9000,"Rural Town, Urban Cluster 35 miles away from an urban area",44411,1050
2982,Mount Marty University,Yankton,SD,0.6839,31500,13,693,8850,8850,"Rural Town, Urban Cluster 35 miles away from an urban area",43706,1050
2985,Northern State University,Aberdeen,SD,0.7814,8845,16,1258,9150,9150,"Rural Town, Urban Cluster 35 miles away from an urban area",38239,1087
2987,Presentation College,Aberdeen,SD,0.7558,22764,11,586,10842,10501,"Fringe Rural, <= 5 miles from an urban area and <= 2.5 miles from an Urban Cluster",51793,998
2989,South Dakota School of Mines and Technology,Rapid City,SD,0.8269,10440,12,2047,8020,10680,"City, Population < 100,000",60005,1252
2990,South Dakota State University,Brookings,SD,0.8608,9299,18,8627,8087,9657,"Rural Town, Urban Cluster 35 miles away from an urban area",46330,1121
2997,University of South Dakota,Vermillion,SD,0.9946,9432,14,5265,8224,9299,"Distant Town, Urban Cluster is that is between 10 and 35 miles from an urban area",44504,1122
3002,Austin Peay State University,Clarksville,TN,0.9382,8431,14,7054,12274,12626,"City, Population Size between 100,000 and 250,000",36253,1089
3003,Baptist Health Sciences University,Memphis,TN,0.4093,13078,7,777,3928,7385,"City, Population Size >= 250,000",56941,1120
3004,Belmont University,Nashville,TN,0.9627,39850,12,7349,13670,15210,"City, Population Size >= 250,000",44400,1269
3005,Bethel University,McKenzie,TN,0.8879,17482,17,2906,13446,13446,"Distant Town, Urban Cluster is that is between 10 and 35 miles from an urban area",37590,1021
3007,Carson-Newman University,Jefferson City,TN,0.7978,33000,10,1426,10097,7664,"Suburb, Population < 100,000",38290,1112
3009,Christian Brothers University,Memphis,TN,0.8746,35520,9,1032,10220,11700,"City, Population Size >= 250,000",40100,1150
3017,Lipscomb University,Nashville,TN,0.7112,37152,13,2950,14036,12000,"City, Population Size >= 250,000",46097,1275
3021,East Tennessee State University,Johnson City,TN,0.8526,9674,16,9772,9613,12411,"City, Population < 100,000",35345,1114
3025,Fisk University,Nashville,TN,0.7097,23578,12,1009,11500,11500,"City, Population Size >= 250,000",29620,1200
3027,Freed-Hardeman University,Henderson,TN,0.9119,24300,13,1384,7950,4500,"Distant Town, Urban Cluster is that is between 10 and 35 miles from an urban area",36758,1147
3034,Johnson University,Knoxville,TN,0.6321,19274,10,668,8664,10468,"Fringe Rural, <= 5 miles from an urban area and <= 2.5 miles from an Urban Cluster",32147,1084
3040,Lee University,Cleveland,TN,0.7259,21730,12,2932,8840,8840,"City, Population < 100,000",35687,1174
3041,Lincoln Memorial University,Harrogate,TN,0.7848,25180,8,1461,11070,5000,"Distant Town, Urban Cluster is that is between 10 and 35 miles from an urban area",43038,1060
3043,The University of Tennessee Southern,Pulaski,TN,0.8026,10200,12,787,8600,8700,"Distant Town, Urban Cluster is that is between 10 and 35 miles from an urban area",34555,1091
3044,Maryville College,Maryville,TN,0.695,37758,12,977,12616,12616,"Suburb, Population >= 250,000",37199,1143
3049,University of Memphis,Memphis,TN,0.946,10056,17,14181,10126,11732,"City, Population Size >= 250,000",37875,1090
3051,Middle Tennessee State University,Murfreesboro,TN,0.7254,9232,16,16239,9576,9576,"City, Population Size between 100,000 and 250,000",38300,1120
3061,Rhodes College,Memphis,TN,0.5391,52310,9,1966,12296,12296,"City, Population Size >= 250,000",55957,1385
3067,The University of the South,Sewanee,TN,0.5232,51146,10,1599,14608,14608,"Distant Rural, Between 5 to 25 miles from an urban area and between 2.5 to 10 miles from an Urban Cluster",46075,1357
3074,Southern Adventist University,Collegedale,TN,0.6578,23870,15,2439,8330,9000,"Suburb, Population >= 250,000",39960,1120
3076,Tennessee Wesleyan University,Athens,TN,0.6074,27350,10,906,8600,8000,"Distant Town, Urban Cluster is that is between 10 and 35 miles from an urban area",39702,1086
3077,The University of Tennessee-Chattanooga,Chattanooga,TN,0.8265,9848,16,9820,9500,9500,"City, Population Size between 100,000 and 250,000",39937,1147
3078,The University of Tennessee-Knoxville,Knoxville,TN,0.6841,13244,18,26905,12150,12150,"City, Population Size between 100,000 and 250,000",46273,1299
3079,The University of Tennessee-Martin,Martin,TN,0.8844,9912,15,4629,7082,9184,"Rural Town, Urban Cluster 35 miles away from an urban area",35258,1121
3082,Tennessee Technological University,Cookeville,TN,0.781,9802,18,8341,10502,10502,"Rural Town, Urban Cluster 35 miles away from an urban area",40421,1190
3083,Trevecca Nazarene University,Nashville,TN,0.7087,28200,22,1738,9900,12512,"City, Population Size >= 250,000",41237,1101
3085,Tusculum University,Greeneville,TN,0.8108,27208,16,981,10042,9600,"Distant Town, Urban Cluster is that is between 10 and 35 miles from an urban area",37043,1044
3086,Union University,Jackson,TN,0.5255,36880,8,1731,10740,12150,"City, Population < 100,000",43332,1281
3091,Abilene Christian University,Abilene,TX,0.6579,40500,13,3141,11500,11500,"City, Population Size between 100,000 and 250,000",45389,1172
3096,Angelo State University,San Angelo,TX,0.7914,8186,18,5314,10520,10520,"City, Population < 100,000",39229,1038
3100,Austin College,Sherman,TX,0.5437,44950,11,1166,12958,9250,"City, Population < 100,000",44949,1243
3107,Baylor University,Waco,TX,0.4588,51738,15,15134,13587,13232,"City, Population Size between 100,000 and 250,000",52420,1347
3117,Concordia University Texas,Austin,TX,0.8574,35620,18,1571,13690,8056,"City, Population Size >= 250,000",48725,1060
3120,Texas A & M University-Corpus Christi,Corpus Christi,TX,0.8797,9748,18,7818,10868,10722,"City, Population Size >= 250,000",42040,1090
3122,Dallas Baptist University,Dallas,TX,0.9137,35310,17,2674,9351,11718,"City, Population Size >= 250,000",45180,1095
3123,Dallas Christian College,Dallas,TX,0.5,20580,13,245,9620,9620,"Suburb, Population >= 250,000",37446,965
3126,University of Dallas,Irving,TX,0.587,48000,12,1446,13810,9450,"City, Population Size >= 250,000",45275,1277
3129,Texas A&M University-Texarkana,Texarkana,TX,0.9148,7930,14,1758,11476,11476,"City, Population < 100,000",37627,999
3130,Texas A & M University-Commerce,Commerce,TX,0.8645,10026,20,7317,9728,12104,"Distant Town, Urban Cluster is that is between 10 and 35 miles from an urban area",40725,1050
3144,Hardin-Simmons University,Abilene,TX,0.8825,31686,16,1323,9980,9980,"City, Population Size between 100,000 and 250,000",42087,1093
3147,Houston Christian University,Houston,TX,0.8448,36750,15,2814,9130,9800,"City, Population Size >= 250,000",44824,1147
3148,University of Houston-Clear Lake,Houston,TX,0.6937,7698,15,6343,9440,12909,"City, Population Size between 100,000 and 250,000",50983,1082
3152,University of Houston,Houston,TX,0.6624,9699,21,37080,10418,10309,"City, Population Size >= 250,000",51697,1241
3154,Howard Payne University,Brownwood,TX,0.6229,31650,10,721,9616,8544,"Rural Town, Urban Cluster 35 miles away from an urban area",38043,1033
3155,Huston-Tillotson University,Austin,TX,0.5194,14703,16,991,8449,10710,"City, Population Size >= 250,000",34305,930
3156,University of the Incarnate Word,San Antonio,TX,0.942,34400,13,4547,13122,12864,"City, Population Size >= 250,000",43731,1020
3161,Lamar University,Beaumont,TX,0.8373,8690,20,8075,9884,8888,"City, Population Size between 100,000 and 250,000",40043,936
3166,Texas A & M International University,Laredo,TX,0.4788,7846,19,6459,9210,9210,"City, Population Size >= 250,000",36774,1006
3168,LeTourneau University,Longview,TX,0.4883,34470,13,1553,10370,11180,"City, Population < 100,000",49230,1239
3170,Lubbock Christian University,Lubbock,TX,0.8159,26300,12,1221,8724,8724,"City, Population Size >= 250,000",42766,1068
3172,University of Mary Hardin-Baylor,Belton,TX,0.9567,31950,17,3013,9900,9900,"Suburb, Population between 100,000 and 250,000",45766,1100
3174,McMurry University,Abilene,TX,0.565,30422,13,1092,9250,6831,"City, Population Size between 100,000 and 250,000",40465,1138
3184,University of North Texas,Denton,TX,0.7913,11140,23,33023,10412,10134,"City, Population Size between 100,000 and 250,000",45431,1127
3192,The University of Texas Rio Grande Valley,Edinburg,TX,0.877,9538,19,26420,8888,8966,"City, Population Size between 100,000 and 250,000",37115,1020
3197,Prairie View A & M University,Prairie View,TX,0.7607,11299,16,8103,9605,8069,"Distant Rural, Between 5 to 25 miles from an urban area and between 2.5 to 10 miles from an Urban Cluster",34713,957
3200,Rice University,Houston,TX,0.0868,54960,6,4480,15000,15000,"City, Population Size >= 250,000",68141,1546
3201,Saint Edward's University,Austin,TX,0.851,50766,14,2751,13876,13876,"City, Population Size >= 250,000",46314,1165
